,CaseID,CASEID_NEW,qflag,weight1,weight1_freqwt,weight2,weight1a,weight1a_freqwt,weight_combo,weight_combo_freqwt,duration,speed_flag,xlgb,S3,DOV_Branch,Past_Partner_Q1,w6_relationship_end_nonmar,w6_breakup_nonmar,w6_relationship_end_mar,w6_who_breakup,Q5_2,Q6A_2,Q9B_2,Q10_2,Q11_2,Q12_2,Q14_2,Q15A7_2_1,Q16_2,Q17B_2,Q17C_2,Q17D_2,Q20_2,Q21A_2_Year,Q21A_2_Month,Q21B_2_Year,Q21B_2_Month,Q21C_2_Year,Q21C_2_Month,Q21D_2_Year,Q21D_2_Month,Q21E_2_Year,Q21E_2_Month,Q21F_2_start_range,Q21F_2_Year,Q21F_2_Month,w6_identity_2,w6_outness_2,w6_outness_timing_2,Q23_2,Q25_2,Q26_2,Q27_2,Q28_2,w6_friend_connect_2_1,w6_friend_connect_2_2,w6_friend_connect_2_3,w6_friend_connect_2_4,w6_friend_connect_2_Refused,Q32_2,w6_otherdate_2,w6_how_many_2,w6_otherdate_app_2,w6_how_many_app_2,partyid7,PERSNET_hom,ppc10017,ppc21310,ppp20071,ppp20072,ppage,ppagecat,ppagect4,ppeduc,ppeducat,ppethm,ppgender,pphhhead,pphhsize,pphouse,ppincimp,ppmarit,ppmsacat,PPREG4,ppreg9,pprent,PPT01,PPT25,PPT612,PPT1317,PPT18OV,ppwork,Race_1,Race_2,Race_3,Race_4,Race_5,Race_6,race1,race2,race3,race4,race5,race6,race7,race8,race9,race10,race11,race12,race13,race14,race15,w6_took_the_survey,w6_prior_identity_lgb,w6_same_sex_couple,w6_same_sex_couple_gender,w6_q4,w6_q5,w6_q6a,w6_q6b,w6_q9,w6_q10,w6_q11,w6_q12,w6_q14,w6_q15a1_truncated,w6_q15a4_truncated,w6_q15a7,w6_q16,w6_q17,w6_attraction,w6_q19,w6_q20,w6_q21a_year,w6_q21a_month,w6_q21a_month_flag,w6_q21b_year,w6_q21b_month,w6_q21b_month_flag,w6_q21c_year,w6_q21c_month,w6_q21c_month_flag,w6_q21d_year,w6_q21d_month,w6_q21e_year,w6_q21e_month,w6_q21f_year,w6_q21f_month,w6_identity_all,w6_outness_all,w6_outness_timing_all,w6_q23,w6_q24_length,w6_q25,w6_q26,w6_q27,w6_q28,w6_friend_connect_1_all,w6_friend_connect_2_all,w6_friend_connect_3_all,w6_friend_connect_4_all,w6_q32,w6_q34,w6_otherdate_all,w6_how_many_all,w6_otherdate_app_all,w6_how_many_app_all,w6_number_people_met,w6_otherdate_dichotomous,w6_married,relate_duration_at_w6_years,w6_number_people_met_app,weight_combo_v2,partnership_status,female,year_fraction_met,year_fraction_relstart,age_when_met,time_from_met_to_rel,year_fraction_first_cohab,time_from_rel_to_cohab,hcm2017q24_R_cowork,hcm2017q24_R_friend,hcm2017q24_R_family,hcm2017q24_R_sig_other,hcm2017q24_R_neighbor,hcm2017q24_P_cowork,hcm2017q24_P_friend,hcm2017q24_P_family,hcm2017q24_P_sig_other,hcm2017q24_P_neighbor,hcm2017q24_btwn_I_cowork,hcm2017q24_btwn_I_friend,hcm2017q24_btwn_I_family,hcm2017q24_btwn_I_sig_other,hcm2017q24_btwn_I_neighbor,hcm2017q24_school,hcm2017q24_college,hcm2017q24_mil,hcm2017q24_church,hcm2017q24_vol_org,hcm2017q24_customer,hcm2017q24_bar_restaurant,hcm2017q24_party,hcm2017q24_internet_other,hcm2017q24_internet_dating,hcm2017q24_internet_soc_network,hcm2017q24_internet_game,hcm2017q24_internet_chat,hcm2017q24_internet_org,hcm2017q24_public,hcm2017q24_blind_date,hcm2017q24_vacation,hcm2017q24_single_serve_nonint,hcm2017q24_business_trip,hcm2017q24_work_neighbors,hcm2017q24_met_online,hcm2017_q24_length,hcm2017q24_summary_all_codes,hcm2017q24_met_through_family,hcm2017q24_met_through_friend,hcm2017q24_met_through_as_nghbrs,hcm2017q24_met_as_through_cowork,w6_subject_race,interracial_5cat,partner_mother_yrsed,subject_mother_yrsed,partner_yrsed,subject_yrsed
639,759,2867625,Qualified,0.8541,66908.0,,0.8492,66524.0,0.9602389,66650.0,4364,Completed survey in over 2 minutes,gen pop,Yes,2,No,We broke up,I wanted to break up more,nan,nan,nan,No (Not Latino or Hispanic),1955.0,HS graduate or GED,HS graduate or GED,Leans Democrat,1st-4th grade,"I met [Partner Name] somewhere else , Please specify the Country, State, and city or town:",0.0,Once,nan,I am sexually attracted only to women,No,1970,September,2010,May,nan,nan,nan,nan,2011,October,Q21B_2,nan,nan,heterosexual or straight,nan,nan,I earned more,Same High School,nan,No,No,Yes,Yes,No,No,No,"No, I did NOT meet [Partner Name] through the Internet","No, I have not met anyone for dating, romance, or sex in the past year",nan,nan,nan,Strong Republican,Yes,Not asked,Every day,No,Once a year or less,63,55-64,60+,Masters degree,Bachelor's degree or higher,"Black, Non-Hispanic",Male,Yes,1,A one-family house detached from any other house,"$60,000 to $74,999",Divorced,Metro,South,South Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,1,Working - as a paid employee,No,Yes,No,No,No,No,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,took the survey,straight/ non LGB,NOT same-sex souple,hetero couple,[Partner Name] is Female,nan,No (Not Latino or Hispanic),White,62.0,HS graduate or GED,HS graduate or GED,Leans Democrat,1st-4th grade,United States,United States,"I met [Partner Name] somewhere else, Please specify the Country, State, and city or town:",0.0,1.0,sexually attracted only to opposite gender,nan,No,1970.0,September,no,2010.0,May,0.0,,nan,,,nan,2011.0,October,,nan,heterosexual or straight,nan,,I earned more,94.0,Same High School,,No,No,yes,yes,no,no,"No, I did NOT meet [Partner Name] through the Internet",nan,"No, I have not met anyone for dating, romance, or sex besides [Partner Name] in the past year.",nan,nan,nan,0.0,no,no,,,0.94024724,"unpartnered, has had past partner",0,1970.7084,2010375,16.0,39.666626,,,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,94.0,3.0,no,yes,no,no,Black or African American,yes,12.0,2.5,12.0,17.0
640,760,1852509,Qualified,0.9517,74554.0,,0.9462,74123.0,1.0699223,74263.0,16,Completed survey in over 2 minutes,gen pop,Yes,2,Yes,nan,nan,divorce,We both equally wanted the [divorce/separation] .,nan,No (Not Latino or Hispanic),1959.0,HS graduate or GED,HS graduate or GED,Leans Republican,Bachelors degree,"I met [Partner Name] somewhere else , Please specify the Country, State, and city or town:",0.0,Twice,I am sexually attracted only to men,nan,Yes,1983,May,1983,May,1984,September,1984,November,1990,January,Q21D_2,nan,nan,heterosexual or straight,nan,nan,We earned about the same amount,Different High School,nan,No,No,Yes,Yes,No,No,No,"No, I did NOT meet [Partner Name] through the Internet","No, I have not met anyone for dating, romance, or sex in the past year",nan,nan,nan,Strong Democrat,Yes,Yes,Every day,Not asked,Once a year or less,57,55-64,45-59,"Some college, no degree",Some college,"White, Non-Hispanic",Female,No,2,A one-family house detached from any other house,"$10,000 to $12,499",Divorced,Metro,Midwest,East-North Central,Rented for cash,0,0,0,0,2,Not working - retired,Yes,No,No,No,No,No,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,took the survey,straight/ non LGB,NOT same-sex souple,hetero couple,[Partner Name] is Male,nan,No (Not Latino or Hispanic),White,58.0,HS graduate or GED,HS graduate or GED,Leans Republican,Bachelors degree,United States,United States,"I met [Partner Name] somewhere else, Please specify the Country, State, and city or town:",0.0,2.0,sexually attracted only to opposite gender,nan,Yes,1983.0,May,no,1983.0,May,0.0,1984.0,September,,1984.0,November,1990.0,January,,nan,heterosexual or straight,nan,,We earned about the same amount,302.0,Different High School,,No,No,yes,yes,no,no,"No, I did NOT meet [Partner Name] through the Internet",nan,"No, I have not met anyone for dating, romance, or sex besides [Partner Name] in the past year.",nan,nan,nan,0.0,no,no,,,1.0476471,"unpartnered, has had past partner",1,1983375,1983375,23.0,0.0,1984.7084,1.333374,no,yes,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,302.0,4.0,yes,yes,no,no,White,no,12.0,16.0,12.0,13.0
641,761,2329385,Qualified,,,0.7337,,,0.22735952,15781.0,23,Completed survey in over 2 minutes,LGB sample,Yes,2,No,We broke up,[Partner Name] wanted to break up more,nan,nan,"No, we were an opposite-sex couple","Yes, Other Latino/Hispanic",1970.0,Masters degree,HS graduate or GED,Leans Democrat,HS graduate or GED,"I met [Partner Name] somewhere else , Please specify the Country, State, and city or town:",1.0,Never married,nan,"I am mostly sexually attracted to men, less often sexually attracted to women",No,2011,October,2013,April,nan,nan,nan,nan,2013,June,Q21B_2,nan,nan,gay,Only a few of them,24,I earned more,Different High School,Did not attend same college or university,No,No,Yes,Yes,Yes,No,No,"No, I did NOT meet [Partner Name] through the Internet","Yes, I have met at least one person for dating, romance, or sex in the past year.","Two to Five people. I met between two and five different people in the past year for dating, romance, or sex.","No, I have not used a phone dating app in the past year to meet someone in person",nan,Leans Democrat,Yes,Yes,Every day,No,More than once a week,47,45-54,45-59,Professional or Doctorate degree,Bachelor's degree or higher,Hispanic,Male,No,3,A one-family house detached from any other house,"$250,000 or more",Never married,Metro,South,South Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,3,Working - as a paid employee,Yes,No,No,No,No,No,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,took the survey,LGB,NOT same-sex souple,hetero couple,[Partner Name] is Female,"No, we are an opposite-sex couple","Yes, Other Latino/Hispanic",White,47.0,Masters degree,HS graduate or GED,Leans Democrat,HS graduate or GED,"Another country, please specify",United States,"I met [Partner Name] somewhere else, Please specify the Country, State, and city or town:",1.0,0.0,"sexually attracted mostly to same gender, sometimes opposite gender",nan,No,2011.0,October,no,2013.0,April,0.0,,nan,,,nan,2013.0,June,,nan,gay,Only a few of them,24.0,I earned more,207.0,Different High School,2.0,No,No,yes,yes,yes,no,"No, I did NOT meet [Partner Name] through the Internet",nan,"Yes, I have met at least one person for dating, romance, or sex besides [Partner Name] in  the past year.","Yes, I have met at least one person for dating, romance, or sex in the past year.",1.0,nan,3.5,yes,no,,0.0,0.31993276,"unpartnered, has had past partner",0,2011.7916,2013.2916,41.0,1.5,,,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,207.0,3.0,no,no,no,yes,White,no,12.0,12.0,17.0,20.0
642,762,2118409,Qualified,1.8592,145645.0,,1.8486,144815.0,2.0903175,145089.0,29,Completed survey in over 2 minutes,gen pop,Yes,2,No,We broke up,[Partner Name] wanted to break up more,nan,nan,nan,No (Not Latino or Hispanic),1998.0,HS graduate or GED,Bachelors degree,Undecided/Independent/Other,Masters degree,I met [Partner Name] in [answer in Q15A7_2],10.0,Never married,nan,I am sexually attracted only to women,No,2014,September,2017,February,nan,nan,nan,nan,2017,April,Q21B_2,nan,nan,heterosexual or straight,nan,nan,We earned about the same amount,Same High School,nan,No,No,Yes,No,No,No,No,"No, I did NOT meet [Partner Name] through the Internet","Yes, I have met at least one person for dating, romance, or sex in the past year.","One person. I met only one person in the past year for dating, or romance, or sex.","No, I have not used a phone dating app in the past year to meet someone in person",nan,Strong Democrat,Yes,Yes,Every day,No,Once or twice a month,18,18-24,18-29,11th grade,Less than high school,"Black, Non-Hispanic",Male,No,5,A one-family house detached from any other house,"$35,000 to $39,999",Never married,Metro,Midwest,East-North Central,Rented for cash,1,0,1,1,2,Not working - other,No,Yes,No,No,No,No,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,took the survey,straight/ non LGB,NOT same-sex souple,hetero couple,[Partner Name] is Female,nan,No (Not Latino or Hispanic),Black or African American,19.0,HS graduate or GED,Bachelors degree,Undecided/Independent/Other,Masters degree,United States,United States,I met [Partner Name] in [Answer in Q15A6],10.0,0.0,sexually attracted only to opposite gender,nan,No,2014.0,September,no,2017.0,February,0.0,,nan,,,nan,2017.0,April,,nan,heterosexual or straight,nan,,We earned about the same amount,100.0,Same High School,,No,No,yes,no,no,no,"No, I did NOT meet [Partner Name] through the Internet",nan,"Yes, I have met at least one person for dating, romance, or sex besides [Partner Name] in  the past year.","No, I have not met anyone for dating, romance, or sex in the past year",1.0,nan,1.0,yes,no,,0.0,2.0467982,"unpartnered, has had past partner",0,2014.7084,2017125,15.0,2.416626,,,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,100.0,1.0,no,no,no,no,Black or African American,no,16.0,17.0,12.0,11.0
643,763,2337263,Qualified,,,0.6987,,,0.2165137,15028.0,19,Completed survey in over 2 minutes,LGB sample,Yes,2,No,We broke up,We both equally wanted to break up,nan,nan,"Yes, we were a same-sex couple",No (Not Latino or Hispanic),1953.0,Bachelors degree,HS graduate or GED,Strong Democrat,"Some college, no degree",I met [Partner Name] in [answer in Q15A7_2],0.0,Never married,nan,I am sexually attracted only to men,Yes,1982,May,1982,May,1984,July,nan,nan,2003,June,Q21C_2,nan,nan,gay,All or most of them,16,I earned more,Different High School,Did not attend same college or university,No,No,No,No,No,Yes,No,"No, I did NOT meet [Partner Name] through the Internet","No, I have not met anyone for dating, romance, or sex in the past year",nan,nan,nan,Strong Democrat,Yes,Yes,Every day,Not asked,Never,72,65-74,60+,"Some college, no degree",Some college,"White, Non-Hispanic",Male,Yes,1,A one-family house attached to one or more houses,"$85,000 to $99,999",Separated,Metro,West,Pacific,Owned or being bought by you or someone in your household,0,0,0,0,1,Not working - retired,Yes,No,No,No,No,No,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,took the survey,LGB,same_sex_couple,gay male couple,[Partner Name] is Male,"Yes, we are a same-sex couple",No (Not Latino or Hispanic),White,64.0,Bachelors degree,HS graduate or GED,Strong Democrat,"Some college, no degree",United States,United States,I met [Partner Name] in [Answer in Q15A6],0.0,0.0,sexually attracted only to same gender,nan,Yes,1982.0,May,no,1982.0,May,0.0,1984.0,July,,,nan,2003.0,June,,nan,gay,All or most of them,16.0,I earned more,304.0,Different High School,2.0,No,No,no,no,no,yes,"No, I did NOT meet [Partner Name] through the Internet",nan,"No, I have not met anyone for dating, romance, or sex besides [Partner Name] in the past year.",nan,nan,nan,0.0,no,no,,,0.30467087,"unpartnered, has had past partner",0,1982375,1982375,37.0,0.0,1984.5416,2.166626,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,304.0,3.0,no,no,yes,no,White,no,12.0,13.0,16.0,13.0
644,764,2699647,Qualified,1.3619,106688.0,,1354,106069.0,1.531045,106270.0,13,Completed survey in over 2 minutes,gen pop,Yes,2,No,We broke up,I wanted to break up more,nan,nan,"Yes, we were a same-sex couple","Yes, Other Latino/Hispanic",Refused,Refused,Refused,Refused,Masters degree,I met [Partner Name] in [answer in Q15A7_2],4.0,Never married,nan,I am equally sexually attracted to men and women,No,Refused,Refused,Refused,Refused,nan,nan,nan,nan,Refused,Refused,nan,nan,nan,heterosexual or straight,nan,nan,Refused,Same High School,nan,No,No,No,No,No,Yes,No,"No, I did NOT meet [Partner Name] through the Internet","Yes, I have met at least one person for dating, romance, or sex in the past year.","One person. I met only one person in the past year for dating, or romance, or sex.","No, I have not used a phone dating app in the past year to meet someone in person",nan,Undecided/Independent/Other,Yes,No,Every day,Yes,More than once a week,33,25-34,30-44,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,Hispanic,Male,Yes,2,A building with 2 or more apartments,"$40,000 to $49,999",Never married,Non-Metro,Midwest,East-North Central,Rented for cash,0,0,0,0,2,Working - as a paid employee,Yes,No,No,No,No,No,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,took the survey,straight/ non LGB,NOT same-sex souple,hetero couple,[Partner Name] is Male,"Yes, we are a same-sex couple","Yes, Other Latino/Hispanic",White,,Refused,Refused,Refused,Masters degree,United States,United States,I met [Partner Name] in [Answer in Q15A6],4.0,0.0,sexually attracted to men and women equally,nan,No,,nan,nan,,nan,,,nan,,,nan,,nan,,nan,heterosexual or straight,nan,,Refused,113.0,Same High School,,No,No,no,no,no,yes,"No, I did NOT meet [Partner Name] through the Internet",nan,"Yes, I have met at least one person for dating, romance, or sex besides [Partner Name] in  the past year.","No, I have not met anyone for dating, romance, or sex in the past year",1.0,nan,1.0,yes,no,,0.0,1.4991695,"unpartnered, has had past partner",0,,,,,,,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,113.0,1.0,no,no,no,no,White,no,,17.0,,12.0
645,765,185779,Qualified,0.7716,60445.0,,0.7672,60101.0,0.86751676,60214.0,5,Completed survey in over 2 minutes,gen pop,Yes,2,No,We broke up,We both equally wanted to break up,nan,nan,nan,No (Not Latino or Hispanic),1942.0,"Some college, no degree",HS graduate or GED,Strong Democrat,"Some college, no degree",I met [Partner Name] in [answer in Q15A7_2],0.0,Twice,I am sexually attracted only to men,nan,Yes,1981,March,1981,August,1982,June,nan,nan,1989,September,Q21C_2,nan,nan,heterosexual or straight,nan,nan,[Partner Name] earned more,Different High School,Did not attend same college or university,No,No,Yes,No,No,No,No,"No, I did NOT meet [Partner Name] through the Internet","No, I have not met anyone for dating, romance, or sex in the past year",nan,nan,nan,Strong Democrat,Not asked,No,Every day,Not asked,Never,72,65-74,60+,"Some college, no degree",Some college,"White, Non-Hispanic",Female,Yes,1,A one-family house detached from any other house,"$10,000 to $12,499",Divorced,Metro,West,Mountain,Owned or being bought by you or someone in your household,0,0,0,0,1,Not working - disabled,Yes,No,No,No,No,No,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,took the survey,straight/ non LGB,NOT same-sex souple,hetero couple,[Partner Name] is Male,nan,No (Not Latino or Hispanic),White,75.0,"Some college, no degree",HS graduate or GED,Strong Democrat,"Some college, no degree",United States,United States,I met [Partner Name] in [Answer in Q15A6],0.0,2.0,sexually attracted only to opposite gender,nan,Yes,1981.0,March,no,1981.0,August,0.0,1982.0,June,,,nan,1989.0,September,,nan,heterosexual or straight,nan,,[Partner Name] earned more,39.0,Different High School,2.0,No,No,yes,no,no,no,"No, I did NOT meet [Partner Name] through the Internet",nan,"No, I have not met anyone for dating, romance, or sex besides [Partner Name] in the past year.",nan,nan,nan,0.0,no,no,,,0.8494556,"unpartnered, has had past partner",1,1981.2084,1981625,36.0,0.41662598,1982.4584,0.833374,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,39.0,1.0,no,no,no,no,White,no,12.0,13.0,13.0,13.0
650,773,2965795,Qualified,,,0.5354,,,0.16591017,11516.0,13,Completed survey in over 2 minutes,LGB sample,Yes,2,No,We broke up,We both equally wanted to break up,nan,nan,"Yes, we were a same-sex couple","Yes, Puerto Rican",1976.0,Associate degree,No formal education,Leans Democrat,HS graduate or GED,I met [Partner Name] in [answer in Q15A7_2],1.0,Never married,nan,I am sexually attracted only to men,No,2007,June,2007,June,nan,nan,nan,nan,2008,June,Q21B_2,nan,nan,gay,All or most of them,18,We earned about the same amount,Different High School,Did not attend same college or university,No,No,No,Yes,No,No,No,"Yes, an Internet dating or matchmaking site (like eHarmony or match.com)","Yes, I have met at least one person for dating, romance, or sex in the past year.","Two to Five people. I met between two and five different people in the past year for dating, romance, or sex.","Yes, I have used a phone dating app in the past year to meet someone in person for dating, romance, or sex","One person. Using phone apps, I met only one person besides [Partner Name] in the past year for dating or romance, or s",Strong Democrat,Yes,Yes,Every day,No,Never,51,45-54,45-59,Associate degree,Some college,Hispanic,Male,Yes,1,A building with 2 or more apartments,"$15,000 to $19,999",Never married,Metro,South,West-South Central,Rented for cash,0,0,0,0,1,Working - as a paid employee,Yes,No,No,No,No,No,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,took the survey,LGB,same_sex_couple,gay male couple,[Partner Name] is Male,"Yes, we are a same-sex couple","Yes, Puerto Rican",White,41.0,Associate degree,No formal education,Leans Democrat,HS graduate or GED,United States,United States,I met [Partner Name] in [Answer in Q15A6],1.0,0.0,sexually attracted only to same gender,nan,No,2007.0,June,no,2007.0,June,0.0,,nan,,,nan,2008.0,June,,nan,gay,All or most of them,18.0,We earned about the same amount,307.0,Different High School,2.0,No,No,no,yes,no,no,"Yes, an Internet dating or matchmaking site (like eHarmony or match.com)",nan,"Yes, I have met at least one person for dating, romance, or sex besides [Partner Name] in  the past year.","Yes, I have met at least one person for dating, romance, or sex in the past year.",2.0,"No, I have not used a phone dating app in the past year to meet someone in person",3.5,yes,no,,1.0,0.23346327,"unpartnered, has had past partner",0,2007.4584,2007.4584,41.0,0.0,,,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,307.0,1.0,no,no,no,no,White,no,0.0,12.0,14.0,14.0
651,774,2297863,Qualified,1.0655,83469.0,,1.0594,82991.0,1.1979239,83148.0,7,Completed survey in over 2 minutes,gen pop,Yes,2,No,We broke up,We both equally wanted to break up,nan,nan,nan,"Yes, Other Latino/Hispanic",1989.0,12th grade no diploma,No formal education,Undecided/Independent/Other,HS graduate or GED,I met [Partner Name] in [answer in Q15A7_2],0.0,Never married,I am sexually attracted only to men,nan,No,2000,October,2001,January,nan,nan,nan,nan,2001,July,Q21B_2,nan,nan,heterosexual or straight,nan,nan,[Partner Name] was not working for pay,Different High School,nan,No,No,No,No,No,Yes,No,"No, I did NOT meet [Partner Name] through the Internet","No, I have not met anyone for dating, romance, or sex in the past year",nan,nan,nan,Leans Republican,Not asked,Not asked,Every day,No,Once a week,31,25-34,30-44,Associate degree,Some college,"White, Non-Hispanic",Female,No,4,A one-family house detached from any other house,"$20,000 to $24,999",Never married,Non-Metro,Midwest,East-North Central,Rented for cash,0,0,0,0,4,Not working - looking for work,Yes,No,No,No,No,No,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,took the survey,straight/ non LGB,NOT same-sex souple,hetero couple,[Partner Name] is Male,nan,"Yes, Other Latino/Hispanic",Other (please specify),28.0,12th grade no diploma,No formal education,Undecided/Independent/Other,HS graduate or GED,United States,United States,I met [Partner Name] in [Answer in Q15A6],0.0,0.0,sexually attracted only to opposite gender,nan,No,2000.0,October,no,2001.0,January,0.0,,nan,,,nan,2001.0,July,,nan,heterosexual or straight,nan,,[Partner Name] was not working for pay,160.0,Different High School,,No,No,no,no,no,yes,"No, I did NOT meet [Partner Name] through the Internet",nan,"No, I have not met anyone for dating, romance, or sex besides [Partner Name] in the past year.",nan,nan,nan,0.0,no,no,,,1.1729839,"unpartnered, has had past partner",1,2000.7916,2001.0416,14.0,0.25,,,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,160.0,2.0,no,no,yes,no,White,yes,0.0,12.0,12.0,14.0
653,776,2773167,Qualified,1.0187,79802.0,,1.0128,79340.0,1.1452307,79491.0,38,Completed survey in over 2 minutes,gen pop,Yes,2,No,We broke up,[Partner Name] wanted to break up more,nan,nan,nan,No (Not Latino or Hispanic),1957.0,HS graduate or GED,12th grade no diploma,Undecided/Independent/Other,1st-4th grade,"I met [Partner Name] somewhere else , Please specify the Country, State, and city or town:",1.0,Once,nan,I am sexually attracted only to women,No,2010,March,2013,October,nan,nan,nan,nan,2017,February,Q21B_2,nan,nan,heterosexual or straight,nan,nan,I earned more,Different High School,nan,No,No,No,No,No,Yes,No,"Yes, an Internet dating or matchmaking site (like eHarmony or match.com)","No, I have not met anyone for dating, romance, or sex in the past year",nan,nan,nan,Not Strong Democrat,Yes,Yes,Every day,Not asked,Never,57,55-64,45-59,Masters degree,Bachelor's degree or higher,Hispanic,Male,Yes,1,A one-family house detached from any other house,"$85,000 to $99,999",Divorced,Metro,West,Pacific,Owned or being bought by you or someone in your household,0,0,0,0,1,Working - as a paid employee,No,No,No,No,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,took the survey,straight/ non LGB,NOT same-sex souple,hetero couple,Refused,nan,No (Not Latino or Hispanic),White,60.0,HS graduate or GED,12th grade no diploma,Undecided/Independent/Other,1st-4th grade,United States,United States,"I met [Partner Name] somewhere else, Please specify the Country, State, and city or town:",1.0,1.0,sexually attracted only to opposite gender,nan,No,2010.0,March,no,2013.0,October,0.0,,nan,,,nan,2017.0,February,,nan,heterosexual or straight,nan,,I earned more,129.0,Different High School,,No,No,no,no,no,yes,"Yes, an Internet dating or matchmaking site (like eHarmony or match.com)",nan,"No, I have not met anyone for dating, romance, or sex besides [Partner Name] in the past year.",nan,nan,nan,0.0,no,no,,,1.1213876,"unpartnered, has had past partner",0,2010.2084,2013.7916,50.0,3.583252,,,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,129.0,1.0,no,no,no,no,Other (please specify),yes,12.0,2.5,12.0,17.0
658,782,2586229,Not Qualified,,,,0.6903,54076.0,0.78056157,54179.0,0,Completed survey in under 2 minutes,gen pop,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Not asked,Not asked,Not asked,nan,nan,56,55-64,45-59,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Male,Yes,2,A one-family house detached from any other house,"$150,000 to $174,999",Separated,Metro,West,Pacific,Owned or being bought by you or someone in your household,0,0,1,0,1,Working - as a paid employee,Yes,No,No,No,No,No,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"excluded b.c. never had a partner, S3==2",nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,,,nan,nan,nan,,nan,nan,,nan,,,nan,,,nan,,nan,,nan,nan,nan,,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,,0.7643107,never had a partner,0,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,nan,nan,nan,nan,White,nan,,,,16.0
