,CaseID,CASEID_NEW,qflag,weight1,weight1_freqwt,weight2,weight1a,weight1a_freqwt,weight_combo,weight_combo_freqwt,duration,speed_flag,xlgb,S2,Q4,Q5,Q6A,Q6B,Q9,Q10,Q11,Q12,Q14,Q15A7,Q16,Q17B,Q17C,Q17D,Q19,Q20,Q21A_Year,Q21A_Month,Q21B_Year,Q21B_Month,Q21C_Year,Q21C_Month,Q21D_Year,Q21D_Month,w6_identity,w6_outness,w6_outness_timing,Q23,Q24_Refused,Q25,Q26,Q27,Q28,w6_friend_connect_1,w6_friend_connect_2,w6_friend_connect_3,w6_friend_connect_4,w6_friend_connect_Refused,Q32,Q34,Q35_Refused,w6_sex_frequency,w6_otherdate,w6_how_many,w6_how_meet_Refused,w6_otherdate_app,w6_how_many_app,partyid7,ppc21310,ppp20071,ppp20072,ppage,ppagecat,ppagect4,ppeduc,ppeducat,ppethm,ppgender,pphhhead,pphhsize,pphouse,ppincimp,ppmarit,ppmsacat,PPREG4,ppreg9,pprent,PPT01,PPT25,PPT612,PPT1317,PPT18OV,ppwork,Race_1,Race_2,Race_3,Race_4,Race_5,Race_6,race1,race2,race3,race4,race5,race6,race7,race8,race9,race10,race11,race12,race13,race14,race15,w6_prior_identity_lgb,w6_same_sex_couple,w6_same_sex_couple_gender,w6_q4,w6_q5,w6_q6a,w6_q6b,w6_q9,w6_q10,w6_q11,w6_q12,w6_q14,w6_q15a1_truncated,w6_q15a4_truncated,w6_q15a7,w6_q16,w6_q17,w6_attraction,w6_q19,w6_q20,w6_q21a_year,w6_q21a_month,w6_q21a_month_flag,w6_q21b_year,w6_q21b_month,w6_q21b_month_flag,w6_q21c_year,w6_q21c_month,w6_q21c_month_flag,w6_q21d_year,w6_identity_all,w6_outness_all,w6_outness_timing_all,w6_q23,w6_q24_length,w6_q25,w6_q26,w6_q27,w6_q28,w6_friend_connect_1_all,w6_friend_connect_2_all,w6_friend_connect_3_all,w6_friend_connect_4_all,w6_q32,w6_q34,w6_otherdate_all,w6_how_many_all,w6_otherdate_app_all,w6_how_many_app_all,w6_number_people_met,w6_otherdate_dichotomous,w6_married,relate_duration_at_w6_years,w6_number_people_met_app,weight_combo_v2,female,year_fraction_met,year_fraction_relstart,age_when_met,time_from_met_to_rel,year_fraction_first_cohab,time_from_rel_to_cohab,hcm2017q24_R_cowork,hcm2017q24_R_friend,hcm2017q24_R_family,hcm2017q24_R_sig_other,hcm2017q24_R_neighbor,hcm2017q24_P_cowork,hcm2017q24_P_friend,hcm2017q24_P_family,hcm2017q24_P_sig_other,hcm2017q24_P_neighbor,hcm2017q24_btwn_I_cowork,hcm2017q24_btwn_I_friend,hcm2017q24_btwn_I_family,hcm2017q24_btwn_I_sig_other,hcm2017q24_btwn_I_neighbor,hcm2017q24_school,hcm2017q24_college,hcm2017q24_mil,hcm2017q24_church,hcm2017q24_vol_org,hcm2017q24_customer,hcm2017q24_bar_restaurant,hcm2017q24_party,hcm2017q24_internet_other,hcm2017q24_internet_dating,hcm2017q24_internet_soc_network,hcm2017q24_internet_game,hcm2017q24_internet_chat,hcm2017q24_internet_org,hcm2017q24_public,hcm2017q24_blind_date,hcm2017q24_vacation,hcm2017q24_single_serve_nonint,hcm2017q24_business_trip,hcm2017q24_work_neighbors,hcm2017q24_met_online,hcm2017_q24_length,hcm2017q24_summary_all_codes,w6_relationship_quality,hcm2017q24_met_through_family,hcm2017q24_met_through_friend,hcm2017q24_met_through_as_nghbrs,hcm2017q24_met_as_through_cowork,w6_subject_race,interracial_5cat,partner_mother_yrsed,subject_mother_yrsed,partner_yrsed,subject_yrsed
119,140,2402977,Qualified,0.3865,30277.0,0.4598,0.3843,30105.0,0.14248319,9890.0,9,Completed survey in over 2 minutes,gen pop,"Yes, I have a sexual partner (boyfriend or girlfriend)",[Partner Name] is Male,"Yes, we are a same-sex couple",No (Not Latino or Hispanic),Black or African American,27.0,"Some college, no degree",HS graduate or GED,Strong Democrat,Associate degree,I met [Partner Name] in [Answer in Q15A6],1.0,Once,nan,"I am mostly sexually attracted to men, less often sexually attracted to women",Yes,nan,2010,April,2010,April,2010,December,nan,nan,gay,All or most of them,12,I earned more,nan,Same High School,Did not attend same college or university,Yes,No,No,No,Yes,No,No,"Yes, an Internet dating or matchmaking site (like eHarmony or match.com)",Good,nan,Once or twice a week,"Yes, I have met at least one person for dating, romance, or sex besides [Partner Name] in  the past year.","Two to Five people. I met between two and five different people besides [Partner Name] in the past year for dating, rom",nan,"Yes, I have used a phone dating app in the past year to meet someone besides [Partner Name] in person for dating, roman","Two to Five people. Using phone apps, I met between two and five different people besides [Partner Name] in person in t",Leans Democrat,Every day,Not asked,Never,54,45-54,45-59,Associate degree,Some college,"2+ Races, Non-Hispanic",Male,Yes,3,A one-family house detached from any other house,"$85,000 to $99,999",Divorced,Metro,Northeast,New England,Owned or being bought by you or someone in your household,0,0,0,0,3,Working - as a paid employee,Yes,No,Yes,No,No,No,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,LGB,same_sex_couple,gay male couple,[Partner Name] is Male,"Yes, we are a same-sex couple",No (Not Latino or Hispanic),Black or African American,27.0,"Some college, no degree",HS graduate or GED,Strong Democrat,Associate degree,United States,United States,I met [Partner Name] in [Answer in Q15A6],1.0,1.0,"sexually attracted mostly to same gender, sometimes opposite gender",Yes,nan,2010.0,April,no,2010.0,April,0.0,2010.0,December,,,gay,All or most of them,12.0,I earned more,166.0,Same High School,2.0,Yes,No,no,no,yes,no,"Yes, an Internet dating or matchmaking site (like eHarmony or match.com)",Good,"Yes, I have met at least one person for dating, romance, or sex besides [Partner Name] in  the past year.","Yes, I have met at least one person for dating, romance, or sex in the past year.",2.0,"Yes, I have used a phone dating app in the past year to meet someone in person for dating, romance, or sex",3.5,yes,no,7.25,3.5,0.2004976,0,2010.2916,2010.2916,47.0,0.0,2010.9584,0.66674805,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,166.0,1.0,good,no,no,no,no,"American Indian, Aleut, or Eskimo",yes,12.0,14.0,13.0,14.0
145,167,1775891,Qualified,0.9473,74209.0,,0.9419,73786.0,1.06506,73926.0,4,Completed survey in over 2 minutes,gen pop,"Yes, I have a sexual partner (boyfriend or girlfriend)",[Partner Name] is Male,nan,No (Not Latino or Hispanic),White,25.0,Associate degree,Bachelors degree,Strong Republican,Associate degree,I met [Partner Name] in [Answer in Q15A6],9.0,Never married,I am sexually attracted only to men,nan,No,No,2012,September,2015,September,nan,nan,nan,nan,heterosexual or straight,nan,nan,[Partner Name] earned more,nan,Different High School,Did not attend same college or university,No,No,Yes,Yes,No,No,No,"No, I did NOT meet [Partner Name] through the Internet",Excellent,nan,Once a month or less,"No, I have not met anyone for dating, romance, or sex besides [Partner Name] in the past year.",nan,nan,nan,nan,Strong Republican,At least once a week but not every day,Yes,Once a week,24,18-24,18-29,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Female,No,3,A building with 2 or more apartments,"$75,000 to $84,999",Never married,Metro,South,South Atlantic,Rented for cash,0,0,0,0,3,Working - as a paid employee,Yes,No,No,No,No,No,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,straight/ non LGB,NOT same-sex souple,hetero couple,[Partner Name] is Male,nan,No (Not Latino or Hispanic),White,25.0,Associate degree,Bachelors degree,Strong Republican,Associate degree,United States,United States,I met [Partner Name] in [Answer in Q15A6],9.0,0.0,sexually attracted only to opposite gender,No,No,2012.0,September,no,2015.0,September,0.0,,nan,,,heterosexual or straight,nan,,[Partner Name] earned more,105.0,Different High School,2.0,No,No,yes,yes,no,no,"No, I did NOT meet [Partner Name] through the Internet",Excellent,"No, I have not met anyone for dating, romance, or sex besides [Partner Name] in the past year.",nan,nan,nan,0.0,no,no,1.8333334,,1.0428861,1,2012.7084,2015.7084,19.0,3.0,,,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,105.0,1.0,excellent,no,no,no,no,White,no,16.0,14.0,14.0,16.0
147,169,2177193,Qualified,,,0.4738,,,0.14682151,10191.0,8,Completed survey in over 2 minutes,LGB sample,"Yes, I have a sexual partner (boyfriend or girlfriend)",[Partner Name] is Male,"No, we are an opposite-sex couple",No (Not Latino or Hispanic),White,30.0,HS graduate or GED,HS graduate or GED,Leans Republican,Associate degree,"I met [Partner Name] somewhere else, Please specify the Country, State, and city or town:",2.0,Never married,"I am mostly sexually attracted to men, less often sexually attracted to women",nan,Yes,nan,2010,October,2011,June,2013,May,nan,nan,bisexual,Only a few of them,26,We earned about the same amount,nan,Different High School,nan,No,No,Yes,Yes,Yes,No,No,"No, I did NOT meet [Partner Name] through the Internet",Excellent,nan,2 to 3 times a month,"No, I have not met anyone for dating, romance, or sex besides [Partner Name] in the past year.",nan,nan,nan,nan,Strong Democrat,Every day,Not asked,Never,26,25-34,18-29,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Female,No,1,A one-family house detached from any other house,"$35,000 to $39,999",Living with partner,Metro,South,South Atlantic,Rented for cash,0,0,0,0,1,Working - as a paid employee,Yes,No,No,No,No,No,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LGB,NOT same-sex souple,hetero couple,[Partner Name] is Male,"No, we are an opposite-sex couple",No (Not Latino or Hispanic),White,30.0,HS graduate or GED,HS graduate or GED,Leans Republican,Associate degree,United States,United States,"I met [Partner Name] somewhere else, Please specify the Country, State, and city or town:",2.0,0.0,"sexually attracted mostly to opposite gender, sometimes same gender",Yes,nan,2010.0,October,no,2011.0,June,0.0,2013.0,May,,,bisexual,Only a few of them,26.0,We earned about the same amount,157.0,Different High School,,No,No,yes,yes,yes,no,"No, I did NOT meet [Partner Name] through the Internet",Excellent,"No, I have not met anyone for dating, romance, or sex besides [Partner Name] in the past year.",nan,nan,nan,0.0,no,no,6.0833335,,0.20660235,1,2010.7916,2011.4584,19.0,0.66674805,2013375,1.916626,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,157.0,3.0,excellent,no,yes,no,no,White,no,12.0,14.0,12.0,16.0
152,176,1202157,Qualified,,,0.5323,,,0.16494954,11449.0,9,Completed survey in over 2 minutes,LGB sample,"Yes, I have a sexual partner (boyfriend or girlfriend)",[Partner Name] is Female,"Yes, we are a same-sex couple",No (Not Latino or Hispanic),White,42.0,Professional or Doctorate degree,HS graduate or GED,Strong Democrat,Professional or Doctorate degree,I met [Partner Name] in [Answer in Q15A6],0.0,Once,"I am mostly sexually attracted to women, less often sexually attracted to men",nan,No,No,2011,January,2012,July,nan,nan,nan,nan,bisexual,All or most of them,61,We earned about the same amount,nan,Different High School,Did not attend same college or university,No,No,No,No,No,Yes,No,"No, I did NOT meet [Partner Name] through the Internet",Excellent,nan,Once a month or less,"No, I have not met anyone for dating, romance, or sex besides [Partner Name] in the past year.",nan,nan,nan,nan,Leans Democrat,Every day,Not asked,Never,66,65-74,60+,Masters degree,Bachelor's degree or higher,"White, Non-Hispanic",Female,Yes,1,A one-family house attached to one or more houses,"$125,000 to $149,999",Divorced,Metro,Midwest,East-North Central,Owned or being bought by you or someone in your household,0,0,0,0,1,Working - self-employed,Yes,No,No,No,No,No,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LGB,same_sex_couple,lesbian couple,[Partner Name] is Female,"Yes, we are a same-sex couple",No (Not Latino or Hispanic),White,42.0,Professional or Doctorate degree,HS graduate or GED,Strong Democrat,Professional or Doctorate degree,United States,United States,I met [Partner Name] in [Answer in Q15A6],0.0,1.0,"sexually attracted mostly to same gender, sometimes opposite gender",No,No,2011.0,January,no,2012.0,July,0.0,,nan,,,bisexual,All or most of them,61.0,We earned about the same amount,93.0,Different High School,2.0,No,No,no,no,no,yes,"No, I did NOT meet [Partner Name] through the Internet",Excellent,"No, I have not met anyone for dating, romance, or sex besides [Partner Name] in the past year.",nan,nan,nan,0.0,no,no,5.0,,0.23211151,1,2011.0416,2012.5416,60.0,1.5,,,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,93.0,2.0,excellent,no,no,no,no,White,no,12.0,20.0,20.0,17.0
157,181,2277911,Qualified,1.0357,81134.0,,1.0298,80672.0,1.1644536,80825.0,11,Completed survey in over 2 minutes,gen pop,"Yes, I have a sexual partner (boyfriend or girlfriend)",[Partner Name] is Male,nan,No (Not Latino or Hispanic),White,48.0,"Some college, no degree","Some college, no degree",Undecided/Independent/Other,HS graduate or GED,I met [Partner Name] in [Answer in Q15A6],0.0,Once,I am sexually attracted only to men,nan,No,No,2017,May,2017,May,nan,nan,nan,nan,heterosexual or straight,nan,nan,We earned about the same amount,nan,Different High School,Did not attend same college or university,No,No,No,No,No,Yes,No,"No, I did NOT meet [Partner Name] through the Internet",Good,nan,3 to 6 times a week,"No, I have not met anyone for dating, romance, or sex besides [Partner Name] in the past year.",nan,nan,nan,nan,Not Strong Democrat,Every day,No,Never,30,25-34,30-44,Associate degree,Some college,"White, Non-Hispanic",Female,Yes,2,A building with 2 or more apartments,"$5,000 to $7,499",Divorced,Metro,West,Pacific,Rented for cash,0,0,1,0,1,Working - self-employed,Yes,No,No,No,No,No,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,straight/ non LGB,NOT same-sex souple,hetero couple,[Partner Name] is Male,nan,No (Not Latino or Hispanic),White,48.0,"Some college, no degree","Some college, no degree",Undecided/Independent/Other,HS graduate or GED,"Another country, please specify",United States,I met [Partner Name] in [Answer in Q15A6],0.0,1.0,sexually attracted only to opposite gender,No,No,2017.0,May,no,2017.0,May,0.0,,nan,,,heterosexual or straight,nan,,We earned about the same amount,51.0,Different High School,2.0,No,No,no,no,no,yes,"No, I did NOT meet [Partner Name] through the Internet",Good,"No, I have not met anyone for dating, romance, or sex besides [Partner Name] in the past year.",nan,nan,nan,0.0,no,no,0.16666667,,1.1402104,1,2017375,2017375,30.0,0.0,,,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,51.0,2.0,good,no,no,no,no,White,no,13.0,12.0,13.0,14.0
158,182,1939331,Qualified,1.0573,82826.0,,1.0513,82356.0,1.1887649,82512.0,9,Completed survey in over 2 minutes,gen pop,"Yes, I have a sexual partner (boyfriend or girlfriend)",Refused,nan,No (Not Latino or Hispanic),Black or African American,37.0,HS graduate or GED,HS graduate or GED,Leans Democrat,HS graduate or GED,I met [Partner Name] in [Answer in Q15A6],1.0,Twice,nan,I am sexually attracted only to women,No,Yes,2014,May,Refused,Refused,Refused,Refused,nan,nan,heterosexual or straight,nan,nan,I earned more,Refused,Different High School,nan,Yes,No,No,No,No,Yes,No,"Yes, an Internet dating or matchmaking site (like eHarmony or match.com)",Good,Refused,Once a month or less,"Yes, I have met at least one person for dating, romance, or sex besides [Partner Name] in  the past year.","One person. I met only one person besides [Partner Name] in the past year for dating, or romance, or sex.",Refused,"No, I have not used a phone dating app in the past year to meet someone in person besides [Partner Name]",nan,Strong Democrat,Every day,Yes,More than once a week,67,65-74,60+,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"Black, Non-Hispanic",Male,No,4,A one-family house detached from any other house,"$50,000 to $59,999",Divorced,Metro,Northeast,Mid-Atlantic,Occupied without payment of cash rent,0,0,0,0,4,Working - as a paid employee,No,Yes,No,No,No,No,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,straight/ non LGB,NOT same-sex souple,hetero couple,Refused,nan,No (Not Latino or Hispanic),Black or African American,37.0,HS graduate or GED,HS graduate or GED,Leans Democrat,HS graduate or GED,United States,United States,I met [Partner Name] in [Answer in Q15A6],1.0,2.0,sexually attracted only to opposite gender,No,Yes,2014.0,May,no,,nan,,,nan,,,heterosexual or straight,nan,,I earned more,0.0,Different High School,,Yes,No,no,no,no,yes,"Yes, an Internet dating or matchmaking site (like eHarmony or match.com)",Good,"Yes, I have met at least one person for dating, romance, or sex besides [Partner Name] in  the past year.","No, I have not met anyone for dating, romance, or sex in the past year",1.0,nan,1.0,yes,no,,0.0,1.1640155,0,2014375,,64.0,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,no,5.0,,good,nan,nan,nan,nan,Black or African American,no,12.0,12.0,12.0,12.0
164,192,2621759,Qualified,0.92,72070.0,,0.9147,71655.0,1.0343034,71791.0,12,Completed survey in over 2 minutes,gen pop,"Yes, I have a sexual partner (boyfriend or girlfriend)",[Partner Name] is Female,nan,No (Not Latino or Hispanic),Black or African American,50.0,"Some college, no degree",HS graduate or GED,Undecided/Independent/Other,12th grade no diploma,I met [Partner Name] in [Answer in Q15A6],0.0,Never married,nan,I am sexually attracted only to women,Yes,nan,1991,July,2016,December,2017,June,nan,nan,heterosexual or straight,nan,nan,I earned more,nan,Different High School,Did not attend same college or university,No,No,No,No,No,Yes,No,"No, I did NOT meet [Partner Name] through the Internet",Excellent,nan,Once or twice a week,"No, I have not met anyone for dating, romance, or sex besides [Partner Name] in the past year.",nan,nan,nan,nan,Leans Democrat,Every day,No,Never,53,45-54,45-59,Bachelors degree,Bachelor's degree or higher,"Black, Non-Hispanic",Male,Yes,1,A building with 2 or more apartments,"$50,000 to $59,999",Never married,Metro,Northeast,Mid-Atlantic,Rented for cash,0,0,0,0,1,Working - as a paid employee,No,Yes,No,No,No,No,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,straight/ non LGB,NOT same-sex souple,hetero couple,[Partner Name] is Female,nan,No (Not Latino or Hispanic),Black or African American,50.0,"Some college, no degree",HS graduate or GED,Undecided/Independent/Other,12th grade no diploma,United States,United States,I met [Partner Name] in [Answer in Q15A6],0.0,0.0,sexually attracted only to opposite gender,Yes,nan,1991.0,July,no,2016.0,December,0.0,2017.0,June,,,heterosexual or straight,nan,,I earned more,18.0,Different High School,2.0,No,No,no,no,no,yes,"No, I did NOT meet [Partner Name] through the Internet",Excellent,"No, I have not met anyone for dating, romance, or sex besides [Partner Name] in the past year.",nan,nan,nan,0.0,no,no,0.5833333,,1.0127698,0,1991.5416,2016.9584,27.0,25.416748,2017.4584,0.5,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,18.0,2.0,excellent,no,no,no,yes,Black or African American,no,12.0,12.0,13.0,16.0
180,210,2721283,Qualified,0.8572,67151.0,,0.8522,66759.0,0.9636311,66886.0,8,Completed survey in over 2 minutes,gen pop,"Yes, I have a sexual partner (boyfriend or girlfriend)",[Partner Name] is Male,nan,No (Not Latino or Hispanic),White,69.0,7th or 8th grade,9th grade,Undecided/Independent/Other,HS graduate or GED,I met [Partner Name] in [Answer in Q15A6],10.0,Once,I am sexually attracted only to men,nan,No,No,1987,Refused,2006,April,nan,nan,nan,nan,heterosexual or straight,nan,nan,[Partner Name] was not working for pay,nan,Different High School,nan,No,No,No,No,No,Yes,No,"No, I did NOT meet [Partner Name] through the Internet",Excellent,nan,2 to 3 times a month,"No, I have not met anyone for dating, romance, or sex besides [Partner Name] in the past year.",nan,nan,nan,nan,Leans Republican,Every day,Yes,Once a year or less,68,65-74,60+,Associate degree,Some college,"White, Non-Hispanic",Female,Yes,2,A mobile home,"$10,000 to $12,499",Widowed,Metro,Northeast,Mid-Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,2,Not working - retired,Yes,No,No,No,No,No,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,straight/ non LGB,NOT same-sex souple,hetero couple,[Partner Name] is Male,nan,No (Not Latino or Hispanic),White,69.0,7th or 8th grade,9th grade,Undecided/Independent/Other,HS graduate or GED,United States,United States,I met [Partner Name] in [Answer in Q15A6],10.0,1.0,sexually attracted only to opposite gender,No,No,1987.0,February,yes,2006.0,April,0.0,,nan,,,heterosexual or straight,nan,,[Partner Name] was not working for pay,45.0,Different High School,,No,No,no,no,no,yes,"No, I did NOT meet [Partner Name] through the Internet",Excellent,"No, I have not met anyone for dating, romance, or sex besides [Partner Name] in the past year.",nan,nan,nan,0.0,no,no,11.25,,0.9435689,1,1987125,2006.2916,38.0,19.166626,,,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,45.0,2.0,excellent,no,no,no,yes,White,no,9.0,12.0,7.5,14.0
183,213,2933065,Qualified,964,75517.0,,0.9584,75079.0,1.0837176,75221.0,7,Completed survey in over 2 minutes,gen pop,I have a romantic partner who is not yet a sexual partner,[Partner Name] is Male,nan,No (Not Latino or Hispanic),White,24.0,HS graduate or GED,Bachelors degree,Strong Democrat,Bachelors degree,I met [Partner Name] in [Answer in Q15A6],2.0,Never married,I am sexually attracted only to men,nan,No,No,2008,April,2010,September,nan,nan,nan,nan,heterosexual or straight,nan,nan,[Partner Name] earned more,nan,Different High School,nan,Yes,No,No,No,No,Yes,No,"No, I did NOT meet [Partner Name] through the Internet",Good,nan,Refused,"No, I have not met anyone for dating, romance, or sex besides [Partner Name] in the past year.",nan,nan,nan,nan,Not Strong Democrat,Every day,No,Once a week,23,18-24,18-29,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Female,No,3,A one-family house detached from any other house,"$100,000 to $124,999",Never married,Metro,South,East-South Central,Owned or being bought by you or someone in your household,0,0,0,0,3,Not working - disabled,Yes,No,No,No,No,No,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,straight/ non LGB,NOT same-sex souple,hetero couple,[Partner Name] is Male,nan,No (Not Latino or Hispanic),White,24.0,HS graduate or GED,Bachelors degree,Strong Democrat,Bachelors degree,United States,United States,I met [Partner Name] in [Answer in Q15A6],2.0,0.0,sexually attracted only to opposite gender,No,No,2008.0,April,no,2010.0,September,0.0,,nan,,,heterosexual or straight,nan,,[Partner Name] earned more,111.0,Different High School,,Yes,No,no,no,no,yes,"No, I did NOT meet [Partner Name] through the Internet",Good,"No, I have not met anyone for dating, romance, or sex besides [Partner Name] in the past year.",nan,nan,nan,0.0,no,no,6.8333335,,1.0611552,1,2008.2916,2010.7084,14.0,2.416748,,,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,111.0,1.0,good,no,no,no,no,White,no,16.0,16.0,12.0,12.0
192,225,2533085,Qualified,0.8211,64323.0,,0.8164,63955.0,0.92315,64076.0,39,Completed survey in over 2 minutes,gen pop,"Yes, I have a sexual partner (boyfriend or girlfriend)",[Partner Name] is Male,nan,"Yes, Puerto Rican",White,50.0,HS graduate or GED,10th grade,Leans Democrat,HS graduate or GED,I met [Partner Name] in [Answer in Q15A6],5.0,Once,I am sexually attracted only to men,nan,No,No,2007,June,Refused,Refused,nan,nan,nan,nan,heterosexual or straight,nan,nan,[Partner Name] earned more,nan,Different High School,nan,No,No,No,No,No,Yes,No,"No, I did NOT meet [Partner Name] through the Internet",Good,nan,Once a month or less,"No, I have not met anyone for dating, romance, or sex besides [Partner Name] in the past year.",nan,nan,nan,nan,Not Strong Democrat,Every day,Yes,More than once a week,89,75+,60+,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Female,Yes,1,A one-family house detached from any other house,"$20,000 to $24,999",Widowed,Metro,South,South Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,1,Not working - retired,Yes,No,No,No,No,No,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,straight/ non LGB,NOT same-sex souple,hetero couple,[Partner Name] is Male,nan,"Yes, Puerto Rican",White,50.0,HS graduate or GED,10th grade,Leans Democrat,HS graduate or GED,United States,United States,I met [Partner Name] in [Answer in Q15A6],5.0,1.0,sexually attracted only to opposite gender,No,No,2007.0,June,no,,nan,,,nan,,,heterosexual or straight,nan,,[Partner Name] earned more,258.0,Different High School,,No,No,no,no,no,yes,"No, I did NOT meet [Partner Name] through the Internet",Good,"No, I have not met anyone for dating, romance, or sex besides [Partner Name] in the past year.",nan,nan,nan,0.0,no,no,,,0.90393054,1,2007.4584,,79.0,,,,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,258.0,2.0,good,no,no,yes,no,White,no,10.0,12.0,12.0,12.0
201,237,1675777,Qualified,868,67997.0,,0.8631,67613.0,0.9759564,67741.0,10,Completed survey in over 2 minutes,gen pop,"Yes, I have a sexual partner (boyfriend or girlfriend)",[Partner Name] is Male,nan,No (Not Latino or Hispanic),White,66.0,HS graduate or GED,HS graduate or GED,Leans Republican,"Some college, no degree",I met [Partner Name] in [Answer in Q15A6],0.0,Twice,I am sexually attracted only to men,nan,Yes,nan,1968,June,1969,December,1970,November,nan,nan,heterosexual or straight,nan,nan,We earned about the same amount,nan,Different High School,nan,Yes,Yes,No,Yes,No,No,No,"No, I did NOT meet [Partner Name] through the Internet",Good,nan,Once a month or less,"No, I have not met anyone for dating, romance, or sex besides [Partner Name] in the past year.",nan,nan,nan,nan,Not Strong Republican,Every day,No,Never,84,75+,60+,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Female,Yes,2,A one-family house detached from any other house,"$40,000 to $49,999",Widowed,Metro,South,East-South Central,Owned or being bought by you or someone in your household,0,0,0,0,2,Not working - retired,Yes,No,No,No,No,No,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,straight/ non LGB,NOT same-sex souple,hetero couple,[Partner Name] is Male,nan,No (Not Latino or Hispanic),White,66.0,HS graduate or GED,HS graduate or GED,Leans Republican,"Some college, no degree",United States,United States,I met [Partner Name] in [Answer in Q15A6],0.0,2.0,sexually attracted only to opposite gender,Yes,nan,1968.0,June,no,1969.0,December,0.0,1970.0,November,,,heterosexual or straight,nan,,We earned about the same amount,142.0,Different High School,,Yes,Yes,no,yes,no,no,"No, I did NOT meet [Partner Name] through the Internet",Good,"No, I have not met anyone for dating, romance, or sex besides [Partner Name] in the past year.",nan,nan,nan,0.0,no,no,47.583332,,0.9556375,1,1968.4584,1969.9584,35.0,1.5,1970875,0.916626,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,142.0,1.0,good,no,no,no,no,White,no,12.0,13.0,12.0,12.0
